Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"10,675",,42.4,108.7,48,114.5,33.4
"11,294",89,28.5,89.4,29.8,93.7,26.2
"61,179",44,66.8,194.5,66.8,194.5,227.4
"17,900",,22.2,59.3,22.8,59.9,29.9
"19,500",,20.7,65.1,20.7,65.1,33
"10,250",,48.6,114.8,48.6,114.8,35.4
"16,500",83,24.9,40.2,30.4,47.2,25
"12,235",43,144.4,354.6,141.6,345.8,127.6
"17,760",51,48.7,152.1,48.7,152.1,70.3
"290,568",37,132.7,245.9,140.9,254.6,2468.8
"22,846",,38.5,109.5,41.1,112.3,68.2
"13,232",,58.1,182.1,58.1,182.1,62.6
"21,500",99,20.6,41.7,20.6,41.7,29.4
"15,350",89,14.2,37.5,14.6,37.9,16.3
"34,778",91,38.8,62.7,37.7,62.4,82
"36,999",,252.7,684.7,252,678.5,707.6
"16,138",,149.4,441.7,149.4,441.7,190.6
"17,250",94,11,20.1,11,20.1,12.1
"10,645",48,46.2,145,46.2,145,40.1
"13,862",89,63.6,196.1,63,192.6,71.2
"29,094",31,288.8,643.5,288.8,643.5,580.9
"10,750",71,86.1,269.3,85,265.7,75.3
"13,040",89,32.2,80.2,32.2,80.2,30.5
"18,000",,20.2,45.4,22.1,47.3,25.2
"16,570",94,14.6,33.3,15.8,34.6,16.9
"18,055",17,164.6,449.4,161.9,441,225.7
"12,000",3,345.5,1084.8,345.5,1084.8,338
"13,646",,119,232.7,119,232.7,106.2
"18,665",23,273,753.6,272.2,745.9,389.2
"12,500",81,38.8,94.4,38.8,94.4,34.9
"12,000",,18.6,51.5,18.6,51.5,17.1
"16,400",54,20.3,63.6,20.3,63.6,27.1
"18,600",39,131.1,220.8,134.8,232.3,150.5
"34,955",96,26.7,82,26.7,82,75.2
"30,000",87,20.1,63,20.1,63,49.1
